Cluster	Motif 1	Motif 2	Number of genes in cluster with both motifs	Total number of genes with both motifs	Number of genes in cluster	Raw p-value	Adjusted p-value (BH)	Adjusted p-value (Bonf)	Adjusted p-value (Global Bonf)	Genes
G1	ARR14	ARR14_2	32	2291	267	0.0223363	0.156354	1	1	AT1G01720;AT1G04270;AT1G15930;AT1G65290;AT1G74060;AT2G37190;AT2G47110;AT3G02080;AT3G09500;AT3G17390;AT3G49010;AT3G52590;AT3G53430;AT3G55440;AT3G59540;AT3G62290;AT4G00100;AT4G01850;AT4G02230;AT4G02450;AT4G14320;AT4G34670;AT4G34870;AT4G38920;AT4G40040;AT5G03240;AT5G03850;AT5G09510;AT5G27770;AT5G38480;AT5G55190;AT5G56670;
G1	ARR14	ARR14_3ARY	17	1321	267	0.140827	0.320427	1	1	AT1G02500;AT1G50010;AT1G65290;AT2G47110;AT3G05560;AT3G53430;AT3G53870;AT3G62290;AT4G02450;AT4G15910;AT4G17390;AT4G34870;AT4G38920;AT5G03240;AT5G09510;AT5G09810;AT5G38480;
G1	ARR14	AT1G77200	15	1204	267	0.189583	0.326152	1	1	AT1G01720;AT1G04270;AT1G14320;AT1G74060;AT1G78040;AT3G17390;AT3G46040;AT3G55440;AT3G59540;AT3G62290;AT4G14320;AT4G15910;AT4G34870;AT5G02450;AT5G56670;
G1	ARR14	AT5G28300	7	1119	267	0.918354	0.918354	1	1	AT1G15930;AT3G22230;AT4G02230;AT4G02450;AT4G17390;AT4G34870;AT5G56670;
G1	ARR14	ATERF1	22	1433	267	0.0220381	0.154267	1	1	AT1G09690;AT1G14320;AT1G50010;AT1G57720;AT1G74060;AT1G78040;AT2G27720;AT3G02080;AT3G09500;AT3G46040;AT3G49910;AT3G53870;AT3G59540;AT3G62290;AT4G15910;AT4G27090;AT4G40040;AT5G02450;AT5G08670;AT5G18380;AT5G55190;AT5G56670;
G1	ARR14	ATERF1_2	16	1375	267	0.256316	0.326152	1	1	AT1G15930;AT1G43170;AT1G74060;AT2G27720;AT3G02080;AT3G09500;AT3G46040;AT3G49910;AT3G53870;AT4G14320;AT4G15910;AT4G27090;AT4G40040;AT5G18380;AT5G55190;AT5G56670;
G1	ARR14	CCA1	8	728	267	0.405597	0.405597	1	1	AT1G08830;AT1G78040;AT3G22230;AT3G52590;AT5G03240;AT5G05410;AT5G09510;AT5G56670;
G1	ARR14	CCA1_2	0	30	267	1	1	1	1	
G1	ARR14	DDF1	8	1039	267	0.789052	0.789052	1	1	AT1G04270;AT1G78040;AT3G17390;AT4G34870;AT5G02450;AT5G08670;AT5G09510;AT5G18380;
G1	ARR14	DREB2C	24	1339	267	0.00278286	0.0436991	0.743024	1	AT1G01720;AT1G09690;AT1G14320;AT1G15930;AT1G50010;AT1G57720;AT1G74060;AT2G47110;AT3G02080;AT3G05560;AT3G09500;AT3G17390;AT3G46040;AT3G53430;AT3G53870;AT3G62290;AT4G14320;AT4G15910;AT4G27090;AT4G40040;AT5G08670;AT5G18380;AT5G55190;AT5G56670;
G1	ARR14	DREB2C_2	18	1276	267	0.0702792	0.281117	1	1	AT1G01720;AT1G04270;AT1G14320;AT1G74060;AT1G75950;AT1G78040;AT3G02080;AT3G17390;AT3G46040;AT3G55440;AT3G59540;AT4G14320;AT4G15910;AT4G34870;AT5G02450;AT5G03240;AT5G18380;AT5G56670;
G1	ARR14	GLK1	16	1079	267	0.0600408	0.253524	1	1	AT1G01720;AT1G14320;AT1G65290;AT2G47110;AT3G02080;AT3G23390;AT3G49010;AT3G52590;AT3G53430;AT3G53870;AT4G02450;AT4G17390;AT4G38920;AT5G03850;AT5G27770;AT5G38480;
G1	ARR14	GLK1_2	19	1402	267	0.0867386	0.298571	1	1	AT1G01720;AT1G65290;AT2G27720;AT2G36620;AT2G47110;AT3G09500;AT3G46040;AT3G53430;AT3G53870;AT4G01850;AT4G02450;AT4G27090;AT4G31985;AT4G34670;AT4G40040;AT5G02450;AT5G03240;AT5G03850;AT5G27770;
G1	ARR14	KAN1	3	730	267	0.973355	0.973355	1	1	AT1G14320;AT3G52590;AT4G02450;
G1	ARR14	KAN4	11	982	267	0.350791	0.350791	1	1	AT1G57720;AT2G37190;AT3G53430;AT3G55440;AT4G01850;AT4G02450;AT4G16720;AT4G34870;AT5G02450;AT5G27770;AT5G55190;
G1	ARR14	KAN4_2	6	850	267	0.832478	0.832478	1	1	AT1G04270;AT1G15930;AT4G01850;AT4G34870;AT5G18380;AT5G55190;
G1	ARR14	MYB111	5	873	267	0.926599	0.926599	1	1	AT1G02500;AT3G05560;AT4G01850;AT4G02450;AT5G18380;
G1	ARR14	MYB111_2	10	927	267	0.405807	0.405807	1	1	AT1G01720;AT1G02500;AT1G04270;AT1G57720;AT1G74060;AT3G05560;AT3G17390;AT3G23390;AT4G01850;AT5G18380;
G1	ARR14	MYB46	8	911	267	0.656352	0.656352	1	1	AT1G01720;AT1G02500;AT1G57720;AT1G74060;AT3G05560;AT4G01850;AT4G15910;AT5G18380;
G1	ARR14	MYB46_2	13	1049	267	0.216239	0.326152	1	1	AT1G01720;AT1G02500;AT1G43170;AT1G74060;AT3G05560;AT3G17390;AT3G23390;AT3G55440;AT4G00100;AT4G16720;AT5G18380;AT5G56670;AT5G60670;
G1	ARR14	MYB52	17	1154	267	0.0563775	0.253524	1	1	AT1G14320;AT1G74060;AT1G78040;AT3G02080;AT3G09500;AT3G46040;AT3G49010;AT4G02450;AT4G14320;AT4G17390;AT4G27090;AT4G40040;AT5G03850;AT5G05410;AT5G09810;AT5G18380;AT5G56670;
G1	ARR14	MYB52_2	6	884	267	0.858487	0.858487	1	1	AT1G04270;AT3G23390;AT4G01850;AT5G03850;AT5G18380;AT5G60670;
G1	ARR14	MYB55	14	1054	267	0.143408	0.320427	1	1	AT1G01720;AT1G02500;AT1G09690;AT1G14320;AT1G57720;AT1G74060;AT1G75950;AT2G47110;AT3G05560;AT4G00100;AT4G01850;AT4G14320;AT4G15910;AT5G18380;
G1	ARR14	MYB55_2	12	1029	267	0.292885	0.326152	1	1	AT1G01720;AT1G02500;AT1G04270;AT1G43170;AT1G74060;AT3G17390;AT3G23390;AT3G55440;AT4G00100;AT5G18380;AT5G56670;AT5G60670;
G1	ARR14	MYB59	14	919	267	0.063381	0.253524	1	1	AT1G14320;AT1G57720;AT1G74060;AT1G75950;AT2G47110;AT3G46040;AT3G53870;AT4G01850;AT4G14320;AT4G27090;AT5G02450;AT5G03240;AT5G05410;AT5G27770;
G1	ARR14	RAP2.3	22	1478	267	0.0297689	0.178613	1	1	AT1G14320;AT1G15930;AT1G57720;AT1G74060;AT2G27720;AT2G36160;AT2G47110;AT3G02080;AT3G09500;AT3G46040;AT3G53870;AT3G59540;AT3G62290;AT4G14320;AT4G15910;AT4G27090;AT4G40040;AT5G02450;AT5G08670;AT5G18380;AT5G55190;AT5G56670;
G1	ARR14	RAP2.3_2	17	1433	267	0.22413	0.326152	1	1	AT1G15930;AT1G57720;AT1G74060;AT1G78040;AT2G27720;AT3G02080;AT3G46040;AT3G53870;AT3G59540;AT4G15910;AT4G27090;AT4G40040;AT5G02450;AT5G08670;AT5G18380;AT5G55190;AT5G56670;
G1	ARR14	RAP2.3_3ARY	21	1362	267	0.0239656	0.163473	1	1	AT1G04270;AT1G09690;AT1G14320;AT1G15930;AT1G57720;AT1G74060;AT1G78040;AT2G27720;AT2G36160;AT3G02080;AT3G46040;AT3G53870;AT3G59540;AT4G15910;AT4G27090;AT4G40040;AT5G02450;AT5G08670;AT5G18380;AT5G55190;AT5G56670;
G1	ARR14	RAP2.6	22	1449	267	0.0245837	0.163473	1	1	AT1G14320;AT1G15930;AT1G74060;AT1G78040;AT2G27720;AT2G36160;AT2G47110;AT3G02080;AT3G05560;AT3G46040;AT3G53430;AT3G53870;AT3G59540;AT4G14320;AT4G15910;AT4G27090;AT4G40040;AT5G02450;AT5G08670;AT5G18380;AT5G55190;AT5G56670;
G1	ARR14	RAP2.6_2	15	1324	267	0.299216	0.326152	1	1	AT1G14320;AT1G74060;AT3G02080;AT3G46040;AT3G49010;AT3G53870;AT4G14320;AT4G15910;AT4G34870;AT4G40040;AT5G02450;AT5G08670;AT5G18380;AT5G55190;AT5G56670;
G1	ARR14	RAP2.6_3ARY	17	1344	267	0.156283	0.320427	1	1	AT1G04270;AT1G43170;AT1G74060;AT1G78040;AT2G27720;AT2G36620;AT3G02080;AT3G46040;AT4G14320;AT4G15910;AT4G34870;AT4G40040;AT5G02450;AT5G08670;AT5G09810;AT5G18380;AT5G56670;
G1	ARR14	RRTF1	22	1455	267	0.0255947	0.163473	1	1	AT1G14320;AT1G15930;AT1G74060;AT2G27720;AT2G36160;AT2G47110;AT3G02080;AT3G05560;AT3G46040;AT3G53430;AT3G53870;AT3G59540;AT4G14320;AT4G15910;AT4G27090;AT4G40040;AT5G02450;AT5G08670;AT5G09510;AT5G18380;AT5G55190;AT5G56670;
G1	ARR14	RRTF1_2	18	1453	267	0.167956	0.326152	1	1	AT1G15930;AT1G74060;AT2G27720;AT2G47110;AT3G02080;AT3G46040;AT3G53870;AT3G59540;AT3G62290;AT4G15910;AT4G17390;AT4G27090;AT4G40040;AT5G02450;AT5G08670;AT5G18380;AT5G55190;AT5G56670;
G1	ARR14	RRTF1_3ARY	18	1445	267	0.162439	0.324877	1	1	AT1G15930;AT1G57720;AT1G74060;AT2G27720;AT2G47110;AT3G02080;AT3G46040;AT3G53870;AT3G59540;AT3G62290;AT4G15910;AT4G27090;AT4G40040;AT5G02450;AT5G08670;AT5G18380;AT5G55190;AT5G56670;
G1	ARR14	RVE1	9	769	267	0.326152	0.326152	1	1	AT1G08830;AT3G17390;AT3G22230;AT3G52590;AT4G27090;AT5G03240;AT5G05410;AT5G09510;AT5G56670;
G1	ARR14	RVE1_2	11	1059	267	0.44565	0.44565	1	1	AT1G50010;AT1G65290;AT3G17390;AT3G49010;AT3G52590;AT4G27090;AT4G34670;AT5G05410;AT5G08670;AT5G55190;AT5G56670;
G1	ARR14_2	ARR14_3ARY	3	184	267	0.262581	0.326152	1	1	AT3G24830;AT4G23630;AT5G09510;
G1	ARR14_2	AT1G77200	16	1320	267	0.208524	0.326152	1	1	AT1G01720;AT1G04270;AT1G04410;AT1G74060;AT3G17390;AT3G53020;AT3G53740;AT3G55440;AT3G59540;AT3G62290;AT4G14320;AT4G14960;AT4G23630;AT4G34870;AT5G56030;AT5G56670;
G1	ARR14_2	AT5G28300	14	1121	267	0.197535	0.326152	1	1	AT1G04410;AT1G15930;AT1G17190;AT3G13920;AT3G53020;AT3G56340;AT4G02230;AT4G02450;AT4G13930;AT4G34870;AT5G02870;AT5G02960;AT5G56670;AT5G56710;
G1	ARR14_2	ATERF1	15	1494	267	0.475842	0.475842	1	1	AT1G04410;AT1G14980;AT1G74060;AT2G20490;AT3G02080;AT3G09500;AT3G53020;AT3G59540;AT3G62290;AT4G23630;AT4G40040;AT5G02960;AT5G55190;AT5G56670;AT5G59850;
G1	ARR14_2	ATERF1_2	16	1444	267	0.321449	0.326152	1	1	AT1G04410;AT1G14980;AT1G15930;AT1G20580;AT1G74060;AT2G14890;AT2G20490;AT3G02080;AT3G09500;AT3G53020;AT4G14320;AT4G23630;AT4G40040;AT5G02960;AT5G55190;AT5G56670;
G1	ARR14_2	CCA1	10	772	267	0.214907	0.326152	1	1	AT1G04480;AT1G17190;AT2G01250;AT2G14890;AT3G13920;AT3G52590;AT5G03240;AT5G09510;AT5G17920;AT5G56670;
G1	ARR14_2	CCA1_2	15	1259	267	0.237295	0.326152	1	1	AT1G01720;AT1G17190;AT1G65290;AT2G27710;AT3G06700;AT3G11940;AT3G49010;AT3G55440;AT4G02230;AT4G13930;AT4G38920;AT4G40040;AT5G38480;AT5G56030;AT5G56670;
G1	ARR14_2	DDF1	11	1111	267	0.5093	0.5093	1	1	AT1G04270;AT2G14890;AT3G17390;AT3G53020;AT3G56340;AT4G14960;AT4G34870;AT5G09510;AT5G16130;AT5G56030;AT5G60390;
G1	ARR14_2	DREB2C	18	1437	267	0.157022	0.320427	1	1	AT1G01720;AT1G04410;AT1G15930;AT1G74060;AT2G47110;AT3G02080;AT3G09500;AT3G17390;AT3G53020;AT3G53430;AT3G56340;AT3G62290;AT4G14320;AT4G40040;AT5G02960;AT5G55190;AT5G56670;AT5G59850;
G1	ARR14_2	DREB2C_2	15	1389	267	0.36536	0.36536	1	1	AT1G01720;AT1G04270;AT1G04410;AT1G74060;AT2G14890;AT3G02080;AT3G17390;AT3G53020;AT3G55440;AT3G59540;AT4G14320;AT4G14960;AT4G34870;AT5G03240;AT5G56670;
G1	ARR14_2	GLK1	20	1348	267	0.0382974	0.20916	1	1	AT1G01720;AT1G17190;AT1G65290;AT2G47110;AT3G02080;AT3G06700;AT3G13920;AT3G49010;AT3G52590;AT3G53430;AT3G53740;AT4G00100;AT4G02450;AT4G38920;AT5G03850;AT5G27770;AT5G38480;AT5G42980;AT5G56710;AT5G59850;
G1	ARR14_2	GLK1_2	9	336	267	0.00562107	0.0674529	1	1	AT1G01720;AT1G04410;AT2G20490;AT4G01850;AT4G34870;AT5G03240;AT5G27770;AT5G42980;AT5G60390;
G1	ARR14_2	KAN1	14	863	267	0.0416335	0.20916	1	1	AT1G04410;AT1G17190;AT2G01250;AT2G14890;AT3G06700;AT3G13920;AT3G52590;AT3G53020;AT3G53740;AT3G56340;AT4G02450;AT4G23630;AT5G55190;AT5G56710;
G1	ARR14_2	KAN4	19	952	267	0.00240302	0.0408514	0.641607	1	AT1G04410;AT1G14980;AT1G17190;AT2G01250;AT2G16600;AT2G32060;AT2G37190;AT3G13920;AT3G53430;AT3G55440;AT3G56340;AT4G01850;AT4G02450;AT4G23630;AT4G34870;AT5G02960;AT5G27770;AT5G42980;AT5G55190;
G1	ARR14_2	KAN4_2	15	825	267	0.0147539	0.13271	1	1	AT1G04270;AT1G04410;AT1G14980;AT1G15930;AT2G16600;AT3G11940;AT3G13920;AT3G53740;AT4G01850;AT4G23630;AT4G34870;AT5G02960;AT5G16130;AT5G42980;AT5G55190;
G1	ARR14_2	MYB111	8	878	267	0.615423	0.615423	1	1	AT4G01850;AT4G02450;AT4G13930;AT4G14960;AT5G02870;AT5G17920;AT5G42980;AT5G60390;
G1	ARR14_2	MYB111_2	11	948	267	0.309923	0.326152	1	1	AT1G01720;AT1G04270;AT1G74060;AT2G01250;AT3G17390;AT4G01850;AT4G13930;AT4G14960;AT5G17920;AT5G42980;AT5G60390;
G1	ARR14_2	MYB46	10	944	267	0.427911	0.427911	1	1	AT1G01720;AT1G74060;AT4G01850;AT4G13930;AT4G14960;AT5G02870;AT5G17920;AT5G42980;AT5G59850;AT5G60390;
G1	ARR14_2	MYB46_2	10	1164	267	0.690882	0.690882	1	1	AT1G01720;AT1G74060;AT2G01250;AT3G17390;AT3G53020;AT3G55440;AT4G00100;AT4G13930;AT5G56670;AT5G60390;
G1	ARR14_2	MYB52	15	1370	267	0.345709	0.345709	1	1	AT1G04410;AT1G74060;AT3G02080;AT3G09500;AT3G49010;AT3G53020;AT3G53740;AT4G02450;AT4G14320;AT4G40040;AT5G02870;AT5G02960;AT5G03850;AT5G56670;AT5G60390;
G1	ARR14_2	MYB52_2	8	859	267	0.590759	0.590759	1	1	AT1G04270;AT2G14890;AT4G01850;AT4G13930;AT5G03850;AT5G16130;AT5G56030;AT5G56710;
G1	ARR14_2	MYB55	14	1134	267	0.209029	0.326152	1	1	AT1G01720;AT1G74060;AT2G20490;AT2G47110;AT3G53020;AT4G00100;AT4G01850;AT4G13930;AT4G14320;AT4G14960;AT5G02870;AT5G17920;AT5G42980;AT5G60390;
G1	ARR14_2	MYB55_2	11	1094	267	0.488654	0.488654	1	1	AT1G01720;AT1G04270;AT1G74060;AT3G17390;AT3G53020;AT3G55440;AT4G00100;AT4G13930;AT5G17920;AT5G56670;AT5G60390;
G1	ARR14_2	MYB59	9	954	267	0.575231	0.575231	1	1	AT1G04410;AT1G74060;AT2G01250;AT2G47110;AT4G01850;AT4G14320;AT5G02870;AT5G03240;AT5G27770;
G1	ARR14_2	RAP2.3	21	1537	267	0.069668	0.278672	1	1	AT1G04410;AT1G14980;AT1G15930;AT1G20580;AT1G74060;AT2G20490;AT2G47110;AT3G02080;AT3G09500;AT3G53020;AT3G56340;AT3G59540;AT3G62290;AT4G14320;AT4G23630;AT4G40040;AT5G02960;AT5G55190;AT5G56670;AT5G56710;AT5G59850;
G1	ARR14_2	RAP2.3_2	15	1496	267	0.477943	0.477943	1	1	AT1G04410;AT1G15930;AT1G20580;AT1G74060;AT2G14890;AT2G20490;AT3G02080;AT3G53020;AT3G59540;AT4G23630;AT4G40040;AT5G02960;AT5G55190;AT5G56670;AT5G59850;
G1	ARR14_2	RAP2.3_3ARY	17	1417	267	0.211052	0.326152	1	1	AT1G04270;AT1G04410;AT1G04480;AT1G15930;AT1G20580;AT1G74060;AT2G14890;AT3G02080;AT3G53020;AT3G59540;AT4G14960;AT4G23630;AT4G40040;AT5G02960;AT5G55190;AT5G56670;AT5G59850;
G1	ARR14_2	RAP2.6	19	1533	267	0.159426	0.320427	1	1	AT1G04410;AT1G14980;AT1G15930;AT1G20580;AT1G74060;AT2G14890;AT2G47110;AT3G02080;AT3G53020;AT3G53430;AT3G56340;AT3G59540;AT4G14320;AT4G23630;AT4G40040;AT5G02960;AT5G55190;AT5G56670;AT5G59850;
G1	ARR14_2	RAP2.6_2	15	1370	267	0.345709	0.345709	1	1	AT1G04410;AT1G20580;AT1G74060;AT3G02080;AT3G49010;AT3G53020;AT4G14320;AT4G34870;AT4G40040;AT5G02960;AT5G16130;AT5G55190;AT5G56670;AT5G59850;AT5G60390;
G1	ARR14_2	RAP2.6_3ARY	16	1419	267	0.297295	0.326152	1	1	AT1G04270;AT1G04410;AT1G20580;AT1G74060;AT2G14890;AT3G02080;AT3G53020;AT4G14320;AT4G14960;AT4G23630;AT4G34870;AT4G40040;AT5G16130;AT5G56670;AT5G59850;AT5G60390;
G1	ARR14_2	RRTF1	19	1525	267	0.154226	0.320427	1	1	AT1G04410;AT1G14980;AT1G15930;AT1G20580;AT1G74060;AT2G47110;AT3G02080;AT3G53020;AT3G53430;AT3G56340;AT3G59540;AT4G14320;AT4G23630;AT4G40040;AT5G02960;AT5G09510;AT5G55190;AT5G56670;AT5G59850;
G1	ARR14_2	RRTF1_2	19	1522	267	0.152301	0.320427	1	1	AT1G04410;AT1G15930;AT1G20580;AT1G74060;AT2G14890;AT2G20490;AT2G47110;AT3G02080;AT3G53020;AT3G56340;AT3G59540;AT3G62290;AT4G14960;AT4G23630;AT4G40040;AT5G02960;AT5G55190;AT5G56670;AT5G59850;
G1	ARR14_2	RRTF1_3ARY	18	1515	267	0.213954	0.326152	1	1	AT1G04410;AT1G15930;AT1G20580;AT1G74060;AT2G14890;AT2G20490;AT2G47110;AT3G02080;AT3G53020;AT3G59540;AT3G62290;AT4G14960;AT4G23630;AT4G40040;AT5G02960;AT5G55190;AT5G56670;AT5G59850;
G1	ARR14_2	RVE1	11	829	267	0.180461	0.326152	1	1	AT1G04480;AT1G17190;AT2G01250;AT2G14890;AT3G17390;AT3G24830;AT3G52590;AT5G03240;AT5G09510;AT5G17920;AT5G56670;
G1	ARR14_2	RVE1_2	4	348	267	0.433711	0.433711	1	1	AT2G01250;AT3G49010;AT5G55190;AT5G60390;
G1	ARR14_3ARY	AT1G77200	7	972	267	0.832125	0.832125	1	1	AT3G56020;AT3G62290;AT4G14960;AT4G15910;AT4G23630;AT4G34870;AT5G56030;
G1	ARR14_3ARY	AT5G28300	8	911	267	0.656352	0.656352	1	1	AT1G07770;AT3G47370;AT3G56020;AT4G02450;AT4G17390;AT4G34870;AT5G22650;AT5G56710;
G1	ARR14_3ARY	ATERF1	7	1007	267	0.857426	0.857426	1	1	AT1G50010;AT3G53870;AT3G56020;AT3G62290;AT4G15910;AT4G23630;AT5G59850;
G1	ARR14_3ARY	ATERF1_2	6	991	267	0.919546	0.919546	1	1	AT1G08360;AT1G20580;AT3G53870;AT3G56020;AT4G15910;AT4G23630;
G1	ARR14_3ARY	CCA1	10	1292	267	0.804239	0.804239	1	1	AT1G65980;AT1G78380;AT2G25210;AT2G41430;AT4G21830;AT4G31290;AT5G03240;AT5G09510;AT5G17920;AT5G62300;
G1	ARR14_3ARY	CCA1_2	8	1074	267	0.817845	0.817845	1	1	AT1G02500;AT1G50010;AT1G65290;AT4G15910;AT4G38920;AT5G38480;AT5G56030;AT5G62300;
G1	ARR14_3ARY	DDF1	7	910	267	0.77886	0.77886	1	1	AT1G23490;AT3G56020;AT4G14960;AT4G34870;AT5G09510;AT5G16130;AT5G56030;
G1	ARR14_3ARY	DREB2C	10	1013	267	0.516614	0.516614	1	1	AT1G50010;AT2G47110;AT3G05560;AT3G53430;AT3G53870;AT3G56020;AT3G62290;AT4G15910;AT5G59850;AT5G64140;
G1	ARR14_3ARY	DREB2C_2	6	986	267	0.917306	0.917306	1	1	AT3G04920;AT3G56020;AT4G14960;AT4G15910;AT4G34870;AT5G03240;
G1	ARR14_3ARY	GLK1	14	1312	267	0.389264	0.389264	1	1	AT1G65290;AT1G67430;AT1G78380;AT2G47110;AT3G25520;AT3G53430;AT3G53870;AT4G02450;AT4G17390;AT4G38920;AT5G38480;AT5G52650;AT5G56710;AT5G59850;
G1	ARR14_3ARY	GLK1_2	7	586	267	0.338012	0.338012	1	1	AT1G02500;AT2G47110;AT3G24830;AT3G53430;AT4G02450;AT4G34870;AT5G03240;
G1	ARR14_3ARY	KAN1	4	890	267	0.974024	0.974024	1	1	AT3G25520;AT4G02450;AT4G23630;AT5G56710;
G1	ARR14_3ARY	KAN4	8	883	267	0.621785	0.621785	1	1	AT1G23490;AT3G53430;AT4G02450;AT4G21830;AT4G23630;AT4G34870;AT5G22650;AT5G62300;
G1	ARR14_3ARY	KAN4_2	5	821	267	0.900674	0.900674	1	1	AT4G23630;AT4G34870;AT5G16130;AT5G22650;AT5G62300;
G1	ARR14_3ARY	MYB111	9	811	267	0.383225	0.383225	1	1	AT1G02500;AT2G25210;AT2G41430;AT3G05560;AT3G25520;AT4G02450;AT4G14960;AT5G17920;AT5G64140;
G1	ARR14_3ARY	MYB111_2	11	877	267	0.229441	0.326152	1	1	AT1G02500;AT1G65980;AT2G25210;AT2G41430;AT3G05560;AT3G07110;AT3G25520;AT4G14960;AT5G17920;AT5G52650;AT5G64140;
G1	ARR14_3ARY	MYB46	11	845	267	0.196208	0.326152	1	1	AT1G02500;AT2G25210;AT2G41430;AT3G05560;AT3G25520;AT4G14960;AT4G15910;AT5G17920;AT5G52650;AT5G59850;AT5G64140;
G1	ARR14_3ARY	MYB46_2	6	935	267	0.891216	0.891216	1	1	AT1G02500;AT1G54580;AT2G41430;AT3G05560;AT5G52650;AT5G62300;
G1	ARR14_3ARY	MYB52	4	986	267	0.986867	0.986867	1	1	AT3G04920;AT4G02450;AT4G17390;AT5G09810;
G1	ARR14_3ARY	MYB52_2	6	828	267	0.813709	0.813709	1	1	AT2G25210;AT3G25520;AT5G16130;AT5G52650;AT5G56030;AT5G56710;
G1	ARR14_3ARY	MYB55	8	876	267	0.612863	0.612863	1	1	AT1G02500;AT2G25210;AT2G47110;AT3G05560;AT4G14960;AT4G15910;AT5G17920;AT5G22650;
G1	ARR14_3ARY	MYB55_2	6	923	267	0.884151	0.884151	1	1	AT1G02500;AT1G54580;AT2G41430;AT5G17920;AT5G52650;AT5G62300;
G1	ARR14_3ARY	MYB59	6	844	267	0.827514	0.827514	1	1	AT1G30230;AT2G25210;AT2G41430;AT2G47110;AT3G53870;AT5G03240;
G1	ARR14_3ARY	RAP2.3	10	1004	267	0.505224	0.505224	1	1	AT1G20580;AT2G47110;AT3G53870;AT3G56020;AT3G62290;AT4G15910;AT4G23630;AT5G56710;AT5G59850;AT5G64140;
G1	ARR14_3ARY	RAP2.3_2	8	1019	267	0.771165	0.771165	1	1	AT1G08360;AT1G20580;AT3G53870;AT3G56020;AT4G15910;AT4G23630;AT5G59850;AT5G64140;
G1	ARR14_3ARY	RAP2.3_3ARY	10	977	267	0.470665	0.470665	1	1	AT1G20580;AT3G07110;AT3G53870;AT3G56020;AT4G14960;AT4G15910;AT4G23630;AT5G23740;AT5G59850;AT5G64140;
G1	ARR14_3ARY	RAP2.6	11	1022	267	0.399898	0.399898	1	1	AT1G20580;AT2G47110;AT3G05560;AT3G53430;AT3G53870;AT3G56020;AT4G15910;AT4G23630;AT5G23740;AT5G59850;AT5G64140;
G1	ARR14_3ARY	RAP2.6_2	10	986	267	0.482241	0.482241	1	1	AT1G08360;AT1G20580;AT3G07110;AT3G53870;AT3G56020;AT4G15910;AT4G34870;AT5G16130;AT5G59850;AT5G64140;
G1	ARR14_3ARY	RAP2.6_3ARY	10	973	267	0.465505	0.465505	1	1	AT1G08360;AT1G20580;AT3G56020;AT4G14960;AT4G15910;AT4G23630;AT4G34870;AT5G09810;AT5G16130;AT5G59850;
G1	ARR14_3ARY	RRTF1	14	1025	267	0.12285	0.320427	1	1	AT1G20580;AT2G47110;AT3G05560;AT3G07110;AT3G53430;AT3G53870;AT3G56020;AT4G15910;AT4G23630;AT5G09510;AT5G23740;AT5G59850;AT5G62300;AT5G64140;
G1	ARR14_3ARY	RRTF1_2	12	1010	267	0.272005	0.326152	1	1	AT1G20580;AT2G47110;AT3G07110;AT3G53870;AT3G56020;AT3G62290;AT4G14960;AT4G15910;AT4G17390;AT4G23630;AT4G31290;AT5G59850;
G1	ARR14_3ARY	RRTF1_3ARY	10	1000	267	0.500139	0.500139	1	1	AT1G20580;AT2G47110;AT3G53870;AT3G56020;AT3G62290;AT4G14960;AT4G15910;AT4G23630;AT4G31290;AT5G59850;
G1	ARR14_3ARY	RVE1	10	1515	267	0.923935	0.923935	1	1	AT1G65980;AT1G78380;AT2G41430;AT3G24830;AT4G21830;AT4G31290;AT5G03240;AT5G09510;AT5G17920;AT5G62300;
G1	ARR14_3ARY	RVE1_2	2	411	267	0.908779	0.908779	1	1	AT1G65290;AT3G25520;
G1	AT1G77200	AT5G28300	15	1421	267	0.398846	0.398846	1	1	AT1G04410;AT1G17880;AT1G70600;AT2G31390;AT2G47610;AT3G18740;AT3G44010;AT3G53020;AT3G55750;AT3G56020;AT3G61110;AT4G29410;AT4G34870;AT5G11740;AT5G56670;
G1	AT1G77200	ATERF1	27	2124	267	0.0869171	0.298571	1	1	AT1G04410;AT1G14320;AT1G17880;AT1G33120;AT1G33140;AT1G70600;AT1G74050;AT1G74060;AT1G77940;AT1G78040;AT2G17360;AT2G30870;AT3G18740;AT3G28900;AT3G46040;AT3G53020;AT3G53890;AT3G56020;AT3G59540;AT3G61110;AT3G62290;AT4G15910;AT4G23630;AT5G02450;AT5G11740;AT5G56670;AT5G61170;
G1	AT1G77200	ATERF1_2	2	474	267	0.944849	0.944849	1	1	AT3G46040;AT3G56020;
G1	AT1G77200	CCA1	5	631	267	0.731525	0.731525	1	1	AT1G33120;AT1G33140;AT1G78040;AT2G19730;AT5G56670;
G1	AT1G77200	CCA1_2	11	832	267	0.183366	0.326152	1	1	AT1G01720;AT1G14320;AT1G20450;AT1G76680;AT3G55440;AT3G61110;AT4G15910;AT4G29410;AT5G02450;AT5G56030;AT5G56670;
G1	AT1G77200	DDF1	24	2537	267	0.573075	0.573075	1	1	AT1G04270;AT1G20440;AT1G20450;AT1G33120;AT1G33140;AT1G74050;AT1G76680;AT1G77940;AT1G78040;AT2G19730;AT2G30870;AT2G47610;AT3G17390;AT3G18740;AT3G53020;AT3G53890;AT3G55750;AT3G56020;AT4G14960;AT4G29410;AT4G34870;AT5G02450;AT5G11740;AT5G56030;
